[-10, -10, T0.05]
[ -9,  -9, T0.05]
[ -8,  -8, T0.05]
[ -7,  -7, T0.05]
[ -6,  -6, T0.05]
[ -5,  -5, T0.05]
[ -4,  -4, T0.05]
[ -3,  -3, T0.05]
[ -2,  -2, T0.05]
[ -1,  -1, T0.05]
[  0,   0, T0.05]
[  1,   1, T0.05]
[  2,   2, T0.05]
[  3,   3, T0.05]
[  4,   4, T0.05]
[  5,   5, T0.05]
[  6,   6, T0.05]
[  7,   7, T0.05]
[  8,   8, T0.05]
[  9,   9, T0.05]
[ 10,  10, T0.05]

[ 10, -10, T0.05]
[  9,  -9, T0.05]
[  8,  -8, T0.05]
[  7,  -7, T0.05]
[  6,  -6, T0.05]
[  5,  -5, T0.05]
[  4,  -4, T0.05]
[  3,  -3, T0.05]
[  2,  -2, T0.05]
[  1,  -1, T0.05]
[  0,   0, T0.05]
[ -1,   1, T0.05]
[ -2,   2, T0.05]
[ -3,   3, T0.05]
[ -4,   4, T0.05]
[ -5,   5, T0.05]
[ -6,   6, T0.05]
[ -7,   7, T0.05]
[ -8,   8, T0.05]
[ -9,   9, T0.05]
[-10,  10, T0.05]

[-10, T0.05, -10]
[ -9, T0.05,  -9]
[ -8, T0.05,  -8]
[ -7, T0.05,  -7]
[ -6, T0.05,  -6]
[ -5, T0.05,  -5]
[ -4, T0.05,  -4]
[ -3, T0.05,  -3]
[ -2, T0.05,  -2]
[ -1, T0.05,  -1]
[  0, T0.05,   0]
[  1, T0.05,   1]
[  2, T0.05,   2]
[  3, T0.05,   3]
[  4, T0.05,   4]
[  5, T0.05,   5]
[  6, T0.05,   6]
[  7, T0.05,   7]
[  8, T0.05,   8]
[  9, T0.05,   9]
[ 10, T0.05,  10]

[ 10, T0.05, -10]
[  9, T0.05,  -9]
[  8, T0.05,  -8]
[  7, T0.05,  -7]
[  6, T0.05,  -6]
[  5, T0.05,  -5]
[  4, T0.05,  -4]
[  3, T0.05,  -3]
[  2, T0.05,  -2]
[  1, T0.05,  -1]
[  0, T0.05,   0]
[ -1, T0.05,   1]
[ -2, T0.05,   2]
[ -3, T0.05,   3]
[ -4, T0.05,   4]
[ -5, T0.05,   5]
[ -6, T0.05,   6]
[ -7, T0.05,   7]
[ -8, T0.05,   8]
[ -9, T0.05,   9]
[-10, T0.05,  10]

[T0.05, -10, -10]
[T0.05,  -9,  -9]
[T0.05,  -8,  -8]
[T0.05,  -7,  -7]
[T0.05,  -6,  -6]
[T0.05,  -5,  -5]
[T0.05,  -4,  -4]
[T0.05,  -3,  -3]
[T0.05,  -2,  -2]
[T0.05,  -1,  -1]
[T0.05,   0,   0]
[T0.05,   1,   1]
[T0.05,   2,   2]
[T0.05,   3,   3]
[T0.05,   4,   4]
[T0.05,   5,   5]
[T0.05,   6,   6]
[T0.05,   7,   7]
[T0.05,   8,   8]
[T0.05,   9,   9]
[T0.05,  10,  10]

[T0.05,  10, -10]
[T0.05,   9,  -9]
[T0.05,   8,  -8]
[T0.05,   7,  -7]
[T0.05,   6,  -6]
[T0.05,   5,  -5]
[T0.05,   4,  -4]
[T0.05,   3,  -3]
[T0.05,   2,  -2]
[T0.05,   1,  -1]
[T0.05,   0,   0]
[T0.05,  -1,   1]
[T0.05,  -2,   2]
[T0.05,  -3,   3]
[T0.05,  -4,   4]
[T0.05,  -5,   5]
[T0.05,  -6,   6]
[T0.05,  -7,   7]
[T0.05,  -8,   8]
[T0.05,  -9,   9]
[T0.05, -10,  10]
